,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
299,2020,2,A,골목상권,1000352,노해로60길,30
300,2020,2,A,골목상권,1000353,노해로63다길,5
301,2020,2,A,골목상권,1000354,덕릉로60길,5
302,2020,2,A,골목상권,1000355,도당로13가길,2
303,2020,2,A,골목상권,1000356,도당로13바길,8
304,2020,2,A,골목상권,1000357,도당로19길,3
305,2020,2,A,골목상권,1000358,도당로29길,18
306,2020,2,A,골목상권,1000359,도봉로109길,6
307,2020,2,A,골목상권,1000360,도봉로114길,46
308,2020,2,A,골목상권,1000361,도봉로143길,6
309,2020,2,A,골목상권,1000362,도봉로147길,8
310,2020,2,A,골목상권,1000363,도봉로152가길,7
311,2020,2,A,골목상권,1000364,도봉로156길,10
312,2020,2,A,골목상권,1000365,도봉로169나길,18
313,2020,2,A,골목상권,1000366,도봉로181길,9
314,2020,2,A,골목상권,1000368,도봉산길,5
315,2020,2,A,골목상권,1000369,방학로10길,5
316,2020,2,A,골목상권,1000370,방학로15길,4
317,2020,2,A,골목상권,1000371,방학로5길,5
318,2020,2,A,골목상권,1000372,방학로6가길,15
319,2020,2,A,골목상권,1000373,삼양로144길,8
320,2020,2,A,골목상권,1000374,시루봉로23길,13
321,2020,2,A,골목상권,1000375,우이천로32길,18
322,2020,2,A,골목상권,1000376,우이천로4다길,9
323,2020,2,A,골목상권,1000377,해등로16길,9
324,2020,2,A,골목상권,1000378,공릉로58길,7
325,2020,2,A,골목상권,1000379,동일로173가길,17
326,2020,2,A,골목상권,1000380,동일로192길,27
327,2020,2,A,골목상권,1000381,동일로242길,5
328,2020,2,A,골목상권,1000382,상계로12길,13
329,2020,2,A,골목상권,1000383,상계로1길,11
330,2020,2,A,골목상권,1000384,상계로9가길,11
331,2020,2,A,골목상권,1000385,석계로1길,19
332,2020,2,A,골목상권,1000386,한글비석로22길,31
333,2020,2,A,골목상권,1000387,한글비석로24길,18
334,2020,2,A,골목상권,1000388,한글비석로44길,7
335,2020,2,A,골목상권,1000389,가좌로7길,21
336,2020,2,A,골목상권,1000390,갈현로1길,6
337,2020,2,A,골목상권,1000391,갈현로33길,10
338,2020,2,A,골목상권,1000392,갈현로41길,14
339,2020,2,A,골목상권,1000393,갈현로7길,10
340,2020,2,A,골목상권,1000394,불광천길,12
341,2020,2,A,골목상권,1000395,서오릉로21길,6
342,2020,2,A,골목상권,1000396,서오릉로8길,8
343,2020,2,A,골목상권,1000397,수색로18길,10
344,2020,2,A,골목상권,1000398,역말로9길,12
345,2020,2,A,골목상권,1000399,연서로11길,10
346,2020,2,A,골목상권,1000400,연서로13길,2
347,2020,2,A,골목상권,1000401,연서로16길,17
348,2020,2,A,골목상권,1000402,연서로17길,26
349,2020,2,A,골목상권,1000403,연서로21길,13
350,2020,2,A,골목상권,1000404,연서로27길,15
351,2020,2,A,골목상권,1000405,연서로28길,14
352,2020,2,A,골목상권,1000406,연서로29길,7
353,2020,2,A,골목상권,1000407,연서로33길,4
354,2020,2,A,골목상권,1000408,연서로34길,15
355,2020,2,A,골목상권,1000409,연서로3길,12
356,2020,2,A,골목상권,1000410,연서로41길,11
357,2020,2,A,골목상권,1000411,연서로5길,11
358,2020,2,A,골목상권,1000412,은평로10길,18
359,2020,2,A,골목상권,1000413,은평로13길,16
360,2020,2,A,골목상권,1000414,은평로20길,12
361,2020,2,A,골목상권,1000415,은평로3길,11
362,2020,2,A,골목상권,1000416,은평로8길,3
363,2020,2,A,골목상권,1000417,응암로12길,9
364,2020,2,A,골목상권,1000418,응암로13길,14
365,2020,2,A,골목상권,1000419,응암로14길,6
366,2020,2,A,골목상권,1000420,응암로22길,20
367,2020,2,A,골목상권,1000421,응암로34길,11
368,2020,2,A,골목상권,1000422,증산로13길,13
369,2020,2,A,골목상권,1000423,증산로15길,7
370,2020,2,A,골목상권,1000424,증산로17길,11
371,2020,2,A,골목상권,1000425,증산로21길,12
372,2020,2,A,골목상권,1000426,증산로5길,13
373,2020,2,A,골목상권,1000427,증산로9길,4
374,2020,2,A,골목상권,1000428,증산서길,11
375,2020,2,A,골목상권,1000429,진흥로12길,6
376,2020,2,A,골목상권,1000430,진흥로1길,12
377,2020,2,A,골목상권,1000431,통일로69길,5
378,2020,2,A,골목상권,1000432,통일로78길,8
379,2020,2,A,골목상권,1000433,통일로87길,15
380,2020,2,A,골목상권,1000434,통일로92길,7
381,2020,2,A,골목상권,1000435,가재울로6길,16
382,2020,2,A,골목상권,1000436,독립문로8길,14
383,2020,2,A,골목상권,1000437,명지대길,15
384,2020,2,A,골목상권,1000438,모래내로15길,22
385,2020,2,A,골목상권,1000439,북아현로4길,9
386,2020,2,A,골목상권,1000440,세검정로1길,19
387,2020,2,A,골목상권,1000441,세무서2길,17
388,2020,2,A,골목상권,1000442,세무서길,27
389,2020,2,A,골목상권,1000443,수색로8길,9
390,2020,2,A,골목상권,1000444,신촌로37길,12
391,2020,2,A,골목상권,1000445,연희로10길,17
392,2020,2,A,골목상권,1000446,응암로1길,18
